id,name,reviews.didPurchase,reviews.doRecommend,reviews.id,reviews.rating,reviews.text,reviews.title,categories
AV13O1A8GV-KLJ3akUyj,Pink Friday: Roman Reloaded Re-Up (w/dvd),,,,5,i love this album. it's very good. more to the hip hop side than her current pop sound.. SO HYPE! i listen to this everyday at the gym! i give it 5star rating all the way. her metaphors are just crazy.,Just Awesome,"Movies, Music & Books,Music,R&b,Movies & TV,Movie Bundles & Collections,CDs & Vinyl,Rap & Hip-Hop,Bass,Music on CD or Vinyl,Rap,Hip-Hop,Mainstream Rap,Pop Rap"
AV14LG0R-jtxr-f38QfS,Lundberg Organic Cinnamon Toast Rice Cakes,TRUE,,100209113,5,Good flavor. This review was collected as part of a promotion.,Good,"Food,Packaged Foods,Snacks,Crackers,Snacks, Cookies & Chips,Rice Cakes,Cakes"
AV14LG0R-jtxr-f38QfS,Lundberg Organic Cinnamon Toast Rice Cakes,TRUE,,100209113,5,Good flavor.,Good,"Food,Packaged Foods,Snacks,Crackers,Snacks, Cookies & Chips,Rice Cakes,Cakes"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,113026909,1,"I read through the reviews on here before looking in to buying one of the couples lubricants, and was ultimately disappointed that it didn't even live up to the reviews I had read. For starters, neither my boyfriend nor I could notice any sort of enhanced or 'captivating' sensation. What we did notice, however, was the messy consistency that was reminiscent of a more liquid-y vaseline. It was difficult to clean up, and was not a pleasant, especially since it lacked the 'captivating' sensation we had both been expecting. I'm disappointed that I paid as much as I did for a lube that I won't use again, when I could just use their normal personal lubricant for 1) less money and 2) less mess.",Disappointed,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,171267657,1,My husband bought this gel for us. The gel caused irritation and it felt like it was burning my skin. I wouldn't recommend this gel.,Irritation,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,149773828,1,My boyfriend and I bought this to spice things up in the bedroom and we were both highly disappointed in this product. We bought this one because we absolutely love the ky yours and mine and we thought this would have a similar affect but it did absolutely nothing. Do not buy.,Not worth it,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,129088591,1,Bought this earlier today and was excited to check it out. Based on the product description I was expecting something but it was just like the regular KY. We are fans of the his and hers so we just expected more and were left a little disappointed.,Disappointing,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,131769441,1,I bought this product for my husband and I to try and we were not impressed at all. There was no tingling or warming. It left us both very sticky. I have used KY products in the past (loved KY his and hers) but this one was disappointing.,Not happy at all,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,148314686,1,My husband and I bought this for some extra fun. We werevboth extremely disappointed. Especially for the price! Do not waste your money on this product. We felt nothing but a sticky mess from it.,Very disappointing,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,147862051,1,Got as a surprise for my husband there is nothing special about it just a lube save the money and get plain KY if you just need a lube wish I could return it for a refund,Don't buy,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,148993380,1,tried it with my husband and felt no different there was no effect no change first te using ky gel not sure if i want to try any others...,pretty dissapoitned,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,148815089,1,Purchased this thinking it would have some sort of warming effect but it's the same as the original. Don't waste your money.,Waste of Money,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,148993854,1,"Bought this to enhance our time a bit, did abslutely nothing very disappointed especially because its almost 20!",waste of money,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,142847293,5,I bought this after really liking the his n hers variety but this is nothing like that very disappointed with this product.,Not happy with this product,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,114599277,5,First time purchase of this type of product. Maybe I expected too much. Did not think there was any warming feeling at all. Left us sticky! Even after trying to was it off.,Disappointed,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,113144826,5,I bought this and tried this with my wife but we did not enjoy it ..we did not feel anything enhancement with this product at all such as the his-her product.,Not what I expected,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,,125706450,5,I bought this product to spice things up with my fianc and it didn't do anything! No passion. Will not buy again,Was so disappointed!!,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,117008196,5,"I bought this to try to spice things up, but I felt nothing. Very disappointing to be honest.",very disappointed!,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,TRUE,TRUE,112558983,3,"I bought this because it had better reviews than the his and hers jelly, but I feel like it didn't work that well for us. It was kind of warm-feeling, but that's about it. I guess I don't know what's supposed to happen! Lol",Pretty nice,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,FALSE,113642710,3,It was my first time using k-y. It didn't do anything in my opinion it felt like every time we did anything. Then again was my first time so probably did Somthing wrong.,First time using,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,151057764,4,"I noticed this product on clearance at a store I shop frequently and decided to give it a try. My husband and I LOVE it! We went back and bought every box left! I, like others have mentioned, am not sure what it is supposed to do other than be a lubricant but for that purpose we like it much better than regular KY Jelly (which tends to dry out and disappear for us). This product stays on for awhile and makes for a very pleasurable experience. The only drawback is that we find it to be a bit sticky. After applying it with your hands you're left with a sticky hand and I agree a little goes a long way! I personally have to be very careful with all products due to skin irritation and surprisingly this actually seems to help that. I did NOT receive a sample and never have.",We love it!,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,108031311,4,I used this product a couple of times since i recived it free to try and it has been a good experiance it feel warm so its a pretty good sensation so i recomend.,good times,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,113572179,4,"Used a few times stays a bit sticky but not too bad, better than most products",Does the job,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,TRUE,,103915758,5,Loved This review was collected as part of a promotion.,Loved,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,TRUE,TRUE,169669810,5,This is a good product. Will give you a great feeling.,Great sensation,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,108110922,5,"I really enjoyed using this product with my husband. After 20+ years of marriage, things can tend to get a little tired and boring. This was just the thing we needed to shake things up a bit. The packaging and pump dispenser is awesome. The product itself does not disappoint. A little goes a very long way. It provides a slight warming sensation when in use and does not become sticky or tacky in anyway. This is an excellent choice for an intimate lubricant. I received a free product for the purpose of my review. Opinions are 100 my own.",That little extra something..,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,108032208,5,Awesome Product for couples. It is a warm feeling lubricant and not sticky like a lot of other lubricants.It is very easy to clean up after use.I will absolutely be purchasing more in the future. I received this product free for the purpose to give my review..Opinions are 100 my own!,Great Product!,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,110412526,5,"Exceptional product, this is smooth, not slimy and the warming sensation is an experience that both partners should share at least once in their lifetime. Great way to shake things up!",Why wouldn't you try it,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,110143029,5,I used this for the first time with my boyfriend and he loved it just as much as I did. Didn't get sticky and felt great the entire time.,Amazing!,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,FALSE,TRUE,111624906,5,Great product! Exactly what it says works very well,Amazing,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants"
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",,,,5,"yes, the scent is the best. if you like lemon frosting you won't be able to get enough of this lotion. but also, it's almost 100 natural, none of the yucky ingredients like in major brands of lotion. no mineral oil, no petroleum, etc. but also, it completely works. you know how sometimes you opt for organic choices and it's good, but not as good as popular but nastier brands jr watkins delivers. this lotion softens your hands and body, leaves you ungreasy and smells perfect. even my fiance likes it and uses it and he's pretty much anti-lotion in all regards. the price is absolutely right, too--get it!",Yummilicious And...,"Personal Care,Skin Care,Hand Cream,Beauty,Body Lotions & Creams,Natural Beauty,Natural Personal Care,Natural Skin Care,Ways To Shop,Bath & Body,Hand Creams & Lotions"
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",TRUE,TRUE,96928531,5,"The Hand-Cream-Lemon-Cream has such a refreshing fragrance. I wish it would last all day. It is soothing to the hands and I get compliments when I use it especially from my daughters and granddaughters, they want me to get some for them It is one of my favorite hand creams. I wish Watkins still had the vanilla body cream that too was a favorite.",One of my favorites,"Personal Care,Skin Care,Hand Cream,Beauty,Body Lotions & Creams,Natural Beauty,Natural Personal Care,Natural Skin Care,Ways To Shop,Bath & Body,Hand Creams & Lotions"
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",TRUE,TRUE,97794859,5,Smells like a lemon cookie. Absolutely love!!! My kids love it.,Hand cream,"Personal Care,Skin Care,Hand Cream,Beauty,Body Lotions & Creams,Natural Beauty,Natural Personal Care,Natural Skin Care,Ways To Shop,Bath & Body,Hand Creams & Lotions"
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",TRUE,TRUE,97319294,5,You will LOVE this lotion. I smile every time I put it on.,If you like lemon frosting,"Personal Care,Skin Care,Hand Cream,Beauty,Body Lotions & Creams,Natural Beauty,Natural Personal Care,Natural Skin Care,Ways To Shop,Bath & Body,Hand Creams & Lotions"
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",TRUE,TRUE,96929734,5,This hand cream is so nice that I had it on my desk at work and someone stole it after just two days! Broke my heart a little,Someone stole it!,"Personal Care,Skin Care,Hand Cream,Beauty,Body Lotions & Creams,Natural Beauty,Natural Personal Care,Natural Skin Care,Ways To Shop,Bath & Body,Hand Creams & Lotions"
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream",TRUE,TRUE,95993821,5,"I love this lotion. Nice and thick, great fragrance. I use it on my hands and my feet.",Thick and works!,"Personal Care,Skin Care,Hand Cream,Beauty,Body Lotions & Creams,Natural Beauty,Natural Personal Care,Natural Skin Care,Ways To Shop,Bath & Body,Hand Creams & Lotions"
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,TRUE,TRUE,130294280,4,Not sure how this works with clearing your complexion (been using for 2 weeks now) but does keep your skin smooth and clean.,Ok so far,"Personal Care,Bath, Shower & Soap,Featured Brands,Health & Beauty,Johnson & Johnson,Bath & Body,Body Wash & Cleansers,Beauty,Skin Care,Facial Cleansers,Soaps"
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,,TRUE,,5,Makes my skin feel clean and not super dry where its ashy if i dont follow with a moisturiser as soon as im done. The skin doesnt feel oily or tacky. Makes my skin more radiant and use of foundation and concealer is not needed to make the skin look even and hydrated.,Still Works,"Personal Care,Bath, Shower & Soap,Featured Brands,Health & Beauty,Johnson & Johnson,Bath & Body,Body Wash & Cleansers,Beauty,Skin Care,Facial Cleansers,Soaps"
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,TRUE,TRUE,103229097,5,It makes my face feel nice and fresh. After about 3 days i did get slight acne but it cleared right back up! Will deff use this every day from now on!,Ambi Skincare,"Personal Care,Bath, Shower & Soap,Featured Brands,Health & Beauty,Johnson & Johnson,Bath & Body,Body Wash & Cleansers,Beauty,Skin Care,Facial Cleansers,Soaps"
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar,TRUE,TRUE,135288024,5,"I have used this soap for years and considered it Wal-Mart's best kept secret. I was so disappointed when they stopped carrying it in our store location. Was delighted to see I could get it online it ended up a blessing. I don't go to Wal-Mart as often so I'm saving money there (Sorry Walmart), delivery was prompt, I stockpiled and never left the house.",Ambi soap,"Personal Care,Bath, Shower & Soap,Featured Brands,Health & Beauty,Johnson & Johnson,Bath & Body,Body Wash & Cleansers,Beauty,Skin Care,Facial Cleansers,Soaps"
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",TRUE,FALSE,113517695,1,I WON'T recommend this product to anyone,It has a nasty smell that would get anyone sick,"Personal Care,Baby Care,Baby Bubble Bath,Baby,Bath & Potty,Toiletries,Bubble Bath,Baby Bath,Bath & Body,Body Wash & Cleansers"
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",FALSE,FALSE,10012188,1,My 8 month old baby got extremely irritated from this product after using for less than a week. I would like to get my money back.,Very bad reaction,"Personal Care,Baby Care,Baby Bubble Bath,Baby,Bath & Potty,Toiletries,Bubble Bath,Baby Bath,Bath & Body,Body Wash & Cleansers"
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",TRUE,,90012372,2,"I did receive 1 bottle but when I ordered, it said a pack of 6. I was disappointed about that. This review was collected as part of a promotion.",Not the quantity specifed,"Personal Care,Baby Care,Baby Bubble Bath,Baby,Bath & Potty,Toiletries,Bubble Bath,Baby Bath,Bath & Body,Body Wash & Cleansers"
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz",FALSE,TRUE,38903058,3,"You would think it's convenient to have bubble bath and wash in the same container, but it just means you buy twice the amount... My son loves the bubbles though so no complaints.",It's bubble bath.,"Personal Care,Baby Care,Baby Bubble Bath,Baby,Bath & Potty,Toiletries,Bubble Bath,Baby Bath,Bath & Body,Body Wash & Cleansers"
